                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9834,                 3.7847,                 1.7854,                0.51901,                0.23692,                0.21415,                0.09868,                  2.015,                 2.8934,                 1.8169,              0.0033288,              0.0033288,              0.0033288
                      2,                 1.9159,                 2.8866,                 1.7056,                  0.526,                0.25712,                0.23101,                0.10037,                 2.0233,                 2.8497,                 1.8716,              0.0065927,              0.0065927,              0.0065927
                      3,                  1.969,                 2.7211,                 1.7606,                0.45891,                0.24774,                0.19728,                0.08508,                  2.085,                 2.6444,                 1.9298,              0.0097871,              0.0097871,              0.0097871
                      4,                 1.9824,                 2.5542,                 1.7888,                0.43303,                0.26619,                0.26714,                0.12202,                 2.0165,                 2.4152,                 1.8783,              0.0096874,              0.0096874,              0.0096874
                      5,                 1.9472,                  2.402,                 1.7584,                0.44328,                0.28511,                0.27156,                0.12852,                  1.981,                 2.4099,                 1.8708,              0.0096874,              0.0096874,              0.0096874
                      6,                  1.904,                 2.3105,                 1.7322,                0.48269,                0.31122,                0.31779,                0.15066,                 1.9467,                 2.1991,                 1.7945,              0.0095832,              0.0095832,              0.0095832
                      7,                 1.8841,                 2.2498,                 1.7065,                0.48176,                0.33076,                0.32864,                  0.159,                 1.8776,                 2.1518,                 1.7555,              0.0094789,              0.0094789,              0.0094789
                      8,                  1.846,                 2.1827,                 1.6768,                0.47382,                0.31472,                0.31928,                0.15624,                 1.8785,                  2.186,                 1.7756,              0.0093747,              0.0093747,              0.0093747
                      9,                 1.8252,                 2.1471,                 1.6707,                0.60015,                0.35581,                0.35677,                0.17626,                 1.8573,                 2.0525,                 1.7367,              0.0092705,              0.0092705,              0.0092705
                     10,                 1.8222,                 2.1299,                 1.6696,                0.55141,                0.34273,                0.35809,                0.17441,                 1.8585,                 2.0985,                 1.7779,              0.0091663,              0.0091663,              0.0091663
                     11,                 1.8027,                 2.0764,                 1.6456,                0.60745,                0.37023,                0.37867,                0.18344,                 1.8487,                 2.0442,                 1.7468,              0.0090621,              0.0090621,              0.0090621
                     12,                 1.7883,                 2.0446,                 1.6433,                  0.528,                0.36811,                0.36853,                0.17865,                 1.8296,                 2.0106,                 1.7028,              0.0089579,              0.0089579,              0.0089579
                     13,                 1.7858,                  2.034,                 1.6328,                 0.5362,                0.39108,                0.43352,                0.21395,                 1.8085,                 1.9284,                 1.6937,              0.0088537,              0.0088537,              0.0088537
                     14,                 1.7783,                 2.0078,                 1.6227,                0.63535,                0.38542,                0.39838,                0.19936,                 1.7937,                 1.9079,                 1.6833,              0.0087495,              0.0087495,              0.0087495
                     15,                 1.7574,                 1.9763,                 1.6111,                0.52855,                0.40379,                0.41006,                0.20332,                 1.7992,                 1.9005,                 1.6766,              0.0086453,              0.0086453,              0.0086453
                     16,                 1.7602,                  1.965,                  1.613,                0.54041,                0.39713,                0.42734,                0.21576,                 1.7972,                  1.873,                 1.6719,              0.0085411,              0.0085411,              0.0085411
                     17,                 1.7525,                 1.9433,                 1.6075,                0.55222,                 0.4253,                0.43719,                0.21686,                 1.7961,                 1.8541,                 1.6796,              0.0084368,              0.0084368,              0.0084368
                     18,                 1.7363,                 1.9203,                 1.5944,                0.52076,                0.42324,                0.42501,                0.21249,                 1.7874,                 1.8451,                 1.6681,              0.0083326,              0.0083326,              0.0083326
                     19,                   1.73,                 1.9126,                 1.5899,                 0.4111,                0.44208,                0.43374,                0.21499,                 1.7728,                 1.8249,                 1.6615,              0.0082284,              0.0082284,              0.0082284
                     20,                 1.7265,                 1.9093,                 1.5956,                0.54076,                0.41331,                0.42443,                0.21615,                 1.7719,                 1.8177,                 1.6523,              0.0081242,              0.0081242,              0.0081242
                     21,                 1.7185,                 1.8843,                 1.5834,                0.57276,                0.43797,                0.47607,                0.23339,                 1.7651,                 1.7884,                 1.6466,                0.00802,                0.00802,                0.00802
                     22,                 1.7106,                 1.8773,                 1.5753,                0.54914,                0.42635,                0.43484,                0.22278,                 1.7566,                 1.7823,                  1.635,              0.0079158,              0.0079158,              0.0079158
                     23,                 1.7119,                 1.8535,                 1.5721,                0.56736,                 0.4468,                0.45597,                 0.2348,                  1.755,                 1.7509,                 1.6343,              0.0078116,              0.0078116,              0.0078116
                     24,                 1.7044,                 1.8457,                 1.5697,                0.42814,                 0.4905,                0.46044,                0.23068,                 1.7564,                 1.7658,                 1.6422,              0.0077074,              0.0077074,              0.0077074
                     25,                 1.6959,                 1.8349,                 1.5594,                0.43233,                0.47482,                0.46027,                0.23587,                 1.7539,                  1.728,                  1.638,              0.0076032,              0.0076032,              0.0076032
                     26,                 1.6931,                 1.8268,                  1.562,                0.59215,                0.45609,                0.48251,                0.23622,                 1.7424,                 1.7326,                 1.6238,              0.0074989,              0.0074989,              0.0074989
                     27,                 1.6916,                 1.8126,                 1.5636,                0.53217,                0.51807,                0.51134,                0.25854,                 1.7285,                 1.7272,                 1.6177,              0.0073947,              0.0073947,              0.0073947
                     28,                 1.6838,                 1.7997,                 1.5534,                0.60187,                0.48673,                0.49058,                0.25571,                 1.7386,                 1.7329,                  1.621,              0.0072905,              0.0072905,              0.0072905
                     29,                 1.6775,                 1.7892,                 1.5465,                0.49145,                0.50243,                0.48427,                0.24587,                 1.7321,                 1.6978,                 1.6173,              0.0071863,              0.0071863,              0.0071863
                     30,                  1.678,                 1.7814,                 1.5462,                0.51516,                0.54712,                0.50283,                0.26094,                 1.7242,                 1.6844,                 1.6086,              0.0070821,              0.0070821,              0.0070821
                     31,                 1.6698,                 1.7686,                 1.5411,                0.48914,                0.55824,                 0.5062,                 0.2564,                 1.7308,                 1.6781,                 1.6055,              0.0069779,              0.0069779,              0.0069779
