                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                 1.6783,                 1.7596,                 1.5418,                0.47488,                0.46388,                0.48662,                0.24966,                 1.7213,                 1.6617,                 1.6025,              0.0068737,              0.0068737,              0.0068737
                     33,                  1.664,                 1.7505,                 1.5345,                0.53186,                0.50923,                 0.5011,                0.25708,                  1.719,                 1.6677,                 1.5984,              0.0067695,              0.0067695,              0.0067695
                     34,                 1.6643,                 1.7472,                 1.5345,                0.51863,                 0.4853,                0.49576,                0.25466,                 1.7269,                 1.6535,                 1.6021,              0.0066653,              0.0066653,              0.0066653
                     35,                 1.6535,                 1.7354,                  1.532,                 0.5683,                0.48789,                0.50869,                0.25716,                 1.7166,                 1.6487,                 1.6035,              0.0065611,              0.0065611,              0.0065611
                     36,                 1.6567,                 1.7341,                 1.5303,                 0.5131,                0.56206,                0.53622,                0.26835,                 1.7146,                 1.6342,                 1.5981,              0.0064568,              0.0064568,              0.0064568
                     37,                 1.6481,                 1.7159,                 1.5236,                0.49272,                0.56908,                0.50417,                0.25905,                 1.7122,                 1.6411,                 1.5969,              0.0063526,              0.0063526,              0.0063526
                     38,                 1.6469,                 1.7092,                 1.5214,                0.54787,                0.56433,                0.52159,                0.26325,                  1.709,                 1.6194,                 1.5882,              0.0062484,              0.0062484,              0.0062484
                     39,                 1.6373,                  1.697,                 1.5138,                0.53248,                0.53295,                0.52929,                0.26373,                 1.7133,                 1.6214,                  1.594,              0.0061442,              0.0061442,              0.0061442
                     40,                 1.6365,                 1.6891,                 1.5094,                0.53297,                0.54834,                0.53042,                0.27853,                 1.7063,                 1.6081,                 1.5826,                0.00604,                0.00604,                0.00604
                     41,                 1.6313,                 1.6768,                 1.5079,                0.52281,                0.57244,                 0.5432,                 0.2814,                 1.7022,                   1.61,                 1.5756,              0.0059358,              0.0059358,              0.0059358
                     42,                 1.6296,                 1.6773,                 1.5058,                0.56683,                0.53712,                0.55011,                0.28191,                 1.7061,                 1.6016,                 1.5846,              0.0058316,              0.0058316,              0.0058316
                     43,                 1.6291,                 1.6764,                 1.5037,                0.53494,                0.55079,                0.54343,                0.28031,                 1.7047,                 1.5908,                 1.5741,              0.0057274,              0.0057274,              0.0057274
                     44,                 1.6219,                 1.6526,                  1.503,                  0.567,                0.57403,                0.55295,                0.28286,                 1.7098,                  1.581,                 1.5809,              0.0056232,              0.0056232,              0.0056232
                     45,                 1.6219,                 1.6655,                 1.5049,                 0.5714,                0.57003,                0.55488,                0.28461,                 1.7026,                 1.5784,                 1.5756,              0.0055189,              0.0055189,              0.0055189
                     46,                 1.6278,                 1.6399,                 1.4954,                0.56441,                0.51979,                0.53285,                0.27618,                 1.7059,                 1.5763,                 1.5785,              0.0054147,              0.0054147,              0.0054147
                     47,                 1.6199,                 1.6438,                 1.4948,                0.60383,                0.53311,                0.56573,                0.29761,                 1.6969,                 1.5696,                 1.5737,              0.0053105,              0.0053105,              0.0053105
                     48,                 1.6149,                 1.6341,                  1.494,                  0.575,                0.57295,                0.55414,                0.28319,                 1.6956,                  1.566,                 1.5734,              0.0052063,              0.0052063,              0.0052063
                     49,                 1.6158,                 1.6384,                 1.4913,                0.58575,                0.57198,                  0.553,                0.28917,                 1.6944,                 1.5642,                 1.5681,              0.0051021,              0.0051021,              0.0051021
                     50,                 1.6061,                 1.6149,                 1.4849,                0.55494,                0.54244,                0.56375,                0.29225,                  1.695,                 1.5609,                 1.5723,              0.0049979,              0.0049979,              0.0049979
                     51,                 1.5948,                 1.5982,                 1.4773,                0.54679,                  0.576,                0.56626,                0.29493,                 1.6925,                 1.5536,                 1.5681,              0.0048937,              0.0048937,              0.0048937
                     52,                  1.603,                 1.5971,                 1.4839,                0.55031,                0.60385,                0.57974,                0.30043,                 1.6907,                   1.55,                 1.5691,              0.0047895,              0.0047895,              0.0047895
                     53,                 1.5964,                 1.5947,                 1.4831,                0.55543,                0.59035,                0.58261,                0.30297,                 1.6929,                  1.546,                 1.5705,              0.0046853,              0.0046853,              0.0046853
                     54,                 1.5899,                  1.582,                 1.4774,                 0.5755,                0.56687,                0.56344,                0.29452,                 1.6936,                 1.5476,                 1.5685,              0.0045811,              0.0045811,              0.0045811
                     55,                 1.5845,                 1.5736,                 1.4741,                0.57811,                0.55891,                0.56628,                0.28934,                 1.6974,                 1.5436,                 1.5703,              0.0044768,              0.0044768,              0.0044768
                     56,                 1.5864,                 1.5653,                 1.4716,                0.55586,                0.57904,                 0.5582,                0.28935,                 1.6991,                 1.5427,                 1.5734,              0.0043726,              0.0043726,              0.0043726
                     57,                  1.576,                 1.5542,                 1.4608,                0.56885,                0.57709,                0.57957,                 0.2981,                 1.6946,                 1.5441,                 1.5677,              0.0042684,              0.0042684,              0.0042684
                     58,                 1.5755,                 1.5503,                 1.4616,                0.59395,                0.56005,                0.58109,                0.30296,                 1.6947,                 1.5381,                 1.5659,              0.0041642,              0.0041642,              0.0041642
                     59,                 1.5754,                 1.5502,                 1.4643,                0.55967,                 0.5916,                0.58684,                0.30258,                 1.6975,                  1.537,                 1.5661,                0.00406,                0.00406,                0.00406
                     60,                 1.5726,                 1.5399,                 1.4632,                0.56537,                0.57947,                0.58557,                0.30421,                 1.6954,                  1.535,                 1.5651,              0.0039558,              0.0039558,              0.0039558
                     61,                  1.564,                 1.5245,                 1.4522,                0.58188,                0.56301,                0.58745,                0.30697,                 1.6981,                 1.5282,                 1.5646,              0.0038516,              0.0038516,              0.0038516
                     62,                 1.5642,                 1.5313,                 1.4549,                0.60177,                0.56009,                0.58963,                0.30747,                 1.6979,                 1.5269,                 1.5651,              0.0037474,              0.0037474,              0.0037474
                     63,                  1.561,                 1.5184,                 1.4543,                 0.5748,                0.58271,                0.59125,                0.30573,                 1.7012,                 1.5209,                 1.5662,              0.0036432,              0.0036432,              0.0036432
                     64,                 1.5606,                 1.5174,                 1.4495,                0.60626,                0.57724,                0.59296,                0.30892,                 1.7031,                 1.5224,                 1.5673,              0.0035389,              0.0035389,              0.0035389
                     65,                 1.5581,                 1.5076,                 1.4497,                0.57789,                0.58304,                0.58916,                0.30898,                 1.7032,                  1.521,                 1.5667,              0.0034347,              0.0034347,              0.0034347
                     66,                 1.5477,                 1.5066,                 1.4428,                0.57955,                 0.5877,                0.58771,                0.30464,                 1.7029,                 1.5199,                  1.567,              0.0033305,              0.0033305,              0.0033305
                     67,                 1.5419,                 1.4945,                 1.4414,                0.59514,                0.55715,                0.58463,                0.30803,                 1.7036,                 1.5178,                  1.567,              0.0032263,              0.0032263,              0.0032263
                     68,                 1.5416,                 1.4783,                 1.4312,                0.60281,                0.55012,                0.58763,                0.30563,                 1.7072,                 1.5157,                 1.5683,              0.0031221,              0.0031221,              0.0031221
                     69,                  1.542,                 1.4758,                 1.4341,                0.60068,                 0.5668,                  0.587,                0.30489,                 1.7107,                 1.5132,                 1.5701,              0.0030179,              0.0030179,              0.0030179
                     70,                 1.5397,                 1.4667,                 1.4358,                0.59339,                0.57295,                0.58472,                0.30659,                 1.7109,                 1.5107,                 1.5703,              0.0029137,              0.0029137,              0.0029137
                     71,                 1.5339,                 1.4618,                   1.43,                0.59455,                0.56994,                0.58961,                0.30862,                 1.7118,                 1.5107,                   1.57,              0.0028095,              0.0028095,              0.0028095
                     72,                 1.5277,                 1.4516,                 1.4274,                0.61639,                0.54958,                0.59043,                0.30938,                 1.7115,                 1.5096,                 1.5698,              0.0027053,              0.0027053,              0.0027053
                     73,                 1.5262,                 1.4483,                  1.425,                 0.5848,                0.57021,                 0.5998,                0.31574,                 1.7119,                 1.5082,                 1.5694,              0.0026011,              0.0026011,              0.0026011
                     74,                 1.5224,                 1.4299,                 1.4262,                0.58537,                0.57649,                0.60355,                0.31444,                 1.7129,                 1.5069,                 1.5699,              0.0024968,              0.0024968,              0.0024968
                     75,                  1.515,                 1.4288,                  1.414,                0.55411,                0.60871,                0.60173,                0.31443,                 1.7131,                 1.5047,                 1.5698,              0.0023926,              0.0023926,              0.0023926
                     76,                 1.5176,                 1.4367,                  1.418,                0.56077,                0.61048,                 0.6081,                0.31663,                 1.7136,                 1.5038,                 1.5706,              0.0022884,              0.0022884,              0.0022884
                     77,                 1.5159,                 1.4142,                 1.4184,                0.56528,                0.60153,                0.61048,                0.31763,                 1.7145,                 1.5019,                 1.5708,              0.0021842,              0.0021842,              0.0021842
                     78,                  1.508,                 1.4126,                 1.4114,                0.55461,                0.61969,                0.59589,                0.31316,                  1.715,                 1.5002,                 1.5715,                0.00208,                0.00208,                0.00208
                     79,                 1.4966,                 1.4053,                 1.4076,                 0.5549,                0.61997,                0.60151,                0.31736,                 1.7158,                 1.4993,                 1.5717,              0.0019758,              0.0019758,              0.0019758
                     80,                 1.5012,                 1.3959,                 1.4052,                0.56035,                0.62375,                0.60297,                0.31867,                 1.7174,                  1.498,                 1.5728,              0.0018716,              0.0018716,              0.0018716
                     81,                 1.4942,                 1.3829,                  1.401,                0.56119,                0.61897,                0.60334,                0.31888,                 1.7183,                 1.4968,                 1.5731,              0.0017674,              0.0017674,              0.0017674
                     82,                  1.491,                 1.3722,                 1.3998,                0.55635,                0.62307,                 0.6095,                0.31544,                 1.7194,                 1.4961,                 1.5737,              0.0016632,              0.0016632,              0.0016632
                     83,                  1.484,                 1.3663,                 1.3977,                0.55101,                0.60725,                0.59307,                0.31047,                 1.7201,                 1.4956,                 1.5739,              0.0015589,              0.0015589,              0.0015589
                     84,                 1.4814,                 1.3671,                 1.3946,                0.55635,                0.59873,                0.59287,                0.31266,                 1.7211,                 1.4946,                 1.5745,              0.0014547,              0.0014547,              0.0014547
                     85,                 1.4784,                 1.3607,                 1.3898,                   0.56,                0.60564,                0.60067,                0.31324,                 1.7219,                 1.4939,                  1.575,              0.0013505,              0.0013505,              0.0013505
                     86,                 1.4815,                 1.2785,                  1.434,                0.55363,                0.58706,                0.59278,                0.31461,                 1.7233,                 1.4931,                 1.5759,              0.0012463,              0.0012463,              0.0012463
                     87,                 1.4742,                  1.261,                  1.428,                0.55688,                0.58823,                0.58862,                0.31189,                 1.7243,                 1.4927,                 1.5764,              0.0011421,              0.0011421,              0.0011421
                     88,                 1.4633,                 1.2418,                   1.42,                0.56349,                 0.6008,                0.59182,                 0.3135,                 1.7256,                 1.4917,                 1.5772,              0.0010379,              0.0010379,              0.0010379
                     89,                 1.4593,                 1.2377,                 1.4189,                0.56231,                0.58722,                0.59426,                0.31458,                  1.727,                 1.4917,                 1.5782,             0.00093368,             0.00093368,             0.00093368
                     90,                 1.4443,                 1.2234,                 1.4081,                0.56302,                0.58594,                0.59373,                0.31479,                 1.7281,                 1.4915,                 1.5786,             0.00082947,             0.00082947,             0.00082947
                     91,                 1.4453,                 1.2254,                 1.4096,                0.56141,                0.58449,                0.59252,                0.31218,                 1.7295,                 1.4914,                 1.5794,             0.00072526,             0.00072526,             0.00072526
                     92,                 1.4389,                 1.2064,                 1.4016,                0.56424,                 0.5883,                0.59176,                0.31178,                 1.7306,                 1.4913,                 1.5803,             0.00062105,             0.00062105,             0.00062105
                     93,                 1.4302,                 1.1972,                 1.4007,                0.56148,                 0.5889,                0.59142,                0.31172,                 1.7316,                 1.4904,                  1.581,             0.00051684,             0.00051684,             0.00051684
                     94,                 1.4225,                 1.1848,                  1.398,                0.55884,                0.59729,                0.59181,                0.31204,                 1.7325,                 1.4897,                 1.5818,             0.00041263,             0.00041263,             0.00041263
                     95,                 1.4226,                 1.1814,                 1.3949,                  0.574,                0.58144,                 0.5923,                0.31184,                 1.7337,                 1.4892,                 1.5827,             0.00030842,             0.00030842,             0.00030842
